Date Created,Project Name,Current Status,NCR Number,RMA Number (IF Applicable) ,Part Name,Serial Number,Contractor's PN,Description of Defect,Supplier/Vendor Name,Updates,Supplier/Vendor Contact Information,QTY,Inspector,Engineer Assigned to:,Disposition,Disposition Notes,Location of Unit,Last Updated
2025-02-12T22:44:09Z,Sound Transit,Complete,NCR - 00068,NA,EDS,24008.0,R1C011308,Visible scratches were discovered on the BOX ASS'Y(R1C011384) and COVER ASS'Y(R1C011528) when removed from their ship[ping package.,WISK,"6/20/2025: Added NCR form to attachments
8/20/2025: This part got touched up in WISA by SHIN. NCR complete. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Richard,Vong,Repair,Items set to the side for paint touch up. Need paint specification and further work instructions from WISK.,Other Area,2025-08-20T21:51:35Z
2025-02-12T22:47:13Z,Sound Transit,Complete,NCR - 00069,NA,DSIMS,24004.0,R1C011421_G01,Visible scratches were discovered on the Cover ASS'Y(R1C011421_G01) when removing from shipping packaging.,WISK,"6/20/2025: Added NCR form to attachments
8/20/2025: This part got touched up in WISA by SHIN. NCR complete. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Richard,Vong,Repair,Item set to the side for paint touch up. Need paint specification and further work instructions from WISK.,Other Area,2025-08-20T21:52:24Z
2025-02-12T23:23:16Z,Sound Transit,Complete,NCR - 00070,NA,DSSDS,24007.0,R1C011399_G01,Visible scratches discovered on COVER ASS'Y(R1C011399_G01) when removed from shipping packaging.,WISK,"6/20/2025: Added NCR form to attachments
8/20/2025: This part got touched up in WISA by SHIN. NCR complete. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Richard,Vong,Repair,"Item has been set aside for paint touch up. Need paint specification and further work instructions from WISK.,",Other Area,2025-08-20T22:00:25Z
2025-02-12T23:30:51Z,Sound Transit,Complete,NCR - 00071,NA,IMS,24006.0,R1C011310,Visible scratches were discovered on COVER ASS'Y(R1C011409) and BOX ASS'Y(R1C011406_G01) when removing from shipping packaging.,WISK,"6/20/2025: Added NCR form to attachments
8/20/2025: This part got touched up in WISA by SHIN. NCR complete. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Richard,Vong,Repair,Item set aside for paint touch up. Need paint specification and further work instructions from WISK.,Other Area,2025-08-20T22:15:22Z
2025-02-12T23:33:26Z,Sound Transit,Complete,NCR - 00072,NA,IMS,24008.0,R1C011409_G01,Visible scratches discovered on the COVER ASS'Y(R1C011409_G01) when removing from shipping packaging.,WISK,"6/20/2025: Added NCR form to attachments
8/20/2025: This part got touched up in WISA by SHIN. NCR complete. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Richard,Vong,Repair,Item set aside for paint touch up. Need paint specification and further work instructions from WISK,Other Area,2025-08-20T22:55:54Z
2025-02-12T23:36:43Z,Sound Transit,Complete,NCR - 00073,NA,RNS,24007.0,R1C011312,Visible scratches were discovered on the BOX ASS'Y(R1C011432_G01) and COVER ASS'Y(R1C011439_G01) when removing from shipping packaging.,WISK,"6/20/2025: Added NCR form to attachments
8/20/2025: This part got touched up in WISA by SHIN. NCR complete. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Richard,Vong,Repair,Item set aside for paint touch up. Need paint specification and further work instructions from WISK,Other Area,2025-08-20T22:58:20Z
2025-02-28T16:48:44Z,UTA COMM,Complete,NCR - 00074,NA,CCH-I,"U133854, U133866, U133874",R1C009595,"U133854 (1.3v output on terminals PL-2 5&6), U133866 (PL-14 -5 Lamp output low), U133874 (Faulty Microphone input)",ISC,"5/28/25: CCH-I received at WISA from ISC. Will send back to UTA.
7/28/2025: Received email from ISC about repaired items and will be sent to us later this week.","Aaron Jennings, ajennings@rideuta.com, (801)-352_6615 (phone), (385)-495-407 (mobile)",3.0,Rich,Vong,Repair,2/28/25: NCR created. Items in MRB Area.,Returned to Customer,2025-08-21T23:26:11Z
2025-02-28T18:53:24Z,UTA COMM,Complete,NCR - 00075,NA,Ethernet Cable,NA,09456000102,Sent in error. Does not meet NFPA-130,Harting,"6/24/2025: NCR file uploaded to attachments.
8/20/2025: Received the wrong cable. Returned it and got the correct one. NCR closed -BD",NA,3.0,Rich,Vong,Return to Vendor,,Returned to Customer,2025-08-20T15:34:49Z
2025-02-28T21:58:35Z,UTA COMM,Complete,NCR - 00076,NA,CCU,U144824,R1C009598,Needs firmware update,ISC,"6/24/2025: NCR file uploaded to attachments. Location of part unknown.
8/21/2025: This item got repaired at WISK and got shipped to WISA. It is currently in the MRB area. -BD","Sophie Krajewski, 438-816-8834  Email: skrajewski@iscappliedsystems.com",1.0,Rich,Vong,"Return to Vendor, Repair",2/28/25: NCR created. Item in MRB Area.,MRB Area,2025-08-21T15:43:13Z
2025-02-28T22:14:40Z,UTA COMM,Complete,NCR - 00077,NA,Exterior Speakers,NA,APF-15TU,"Customer received APF-15TU, needs to be replaced with APF-15U",Atlas,"6/24/2025: Redone Form
8/21/2025: The 4 APF-15TU speakers got returned back to inventory. The customers got the correct speakers sent to them. -BD.",NA,4.0,Rich,Vong,Return to Vendor,2/28/25: Will replace 4 APF-15TU speakers with 4 APF-15U speakers. No red tag need. The 4 APF-15TU speakers received will return back to inventory.,WISA Inventory,2025-08-21T15:49:22Z
2025-03-10T15:33:23Z,Sound Transit,Complete,NCR - 00078,NA,DSSDS (BOX ASS'Y),24016.0,R1C011394,Multiple scratches,WISK,"6/24/2025: Redone Form
8/20/2025: This part got touched up in WISA by SHIN. NCR complete. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Rich,Vong,Repair,3/10/25: NCR CREATED,Other Area,2025-08-20T23:02:06Z
2025-03-10T16:51:30Z,Sound Transit,Complete,NCR - 00079,NA,DSSDS (BOX ASS'Y),24014.0,R1C011394,Multiple scratches,WISK,"6/24/2025: Redone Form
8/20/2025: This part got touched up in WISA by SHIN. NCR complete. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Rich,Vong,Repair,3/10/25: NCR CREATED,Other Area,2025-08-20T23:34:53Z
2025-03-10T20:36:24Z,Sound Transit,Complete,NCR - 00080,NA,DSSDS (BOX ASS'Y),24015.0,R1C011394,Multiple scratches,WISK,"6/24/2025: Redone Form
8/20/2025: This part got touched up in WISA by SHIN. NCR complete. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Rich,Vong,Repair,3/10/25: NCR CREATED,Other Area,2025-08-20T23:43:17Z
2025-03-11T15:38:31Z,Sound Transit,Complete,NCR - 00081,NA,DSSDS (BOX ASS'Y),24013.0,R1C011394,Scratches,WISK,"6/24/2025: Redone Form
8/20/2025: This part got touched up in WISA by SHIN. NCR complete. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Rich,Vong,Repair,3/11/25: NCR CREATED,Other Area,2025-08-20T23:49:30Z
2025-04-07T16:43:19Z,UTA COMM,At WISK,NCR - 00082,03112025DPSA,POWER SUPPLY BOARD,23006.0,C1b0289-03,Power supply board have failed to be provided 5 V power to the power supply board.,TTA/Transitair,"6/24/2025: Redone Form
8/20/2025: Checked WQMS and saw that this NCR is the same as NCR 1489. The board is burnt so it is unrepairable. -BD",6073240216.0,1.0,Vong,Vong,Repair,This item will send to WISK for repair.,MRB Area,2025-08-20T16:55:00Z
2025-04-07T22:58:07Z,Sound Transit,In Progress,NCR - 00083,NA,APC MASTER,2436-01172,R1C011332,APC Master could not cooneted to web due to wrong configuration file.,Dilax,6/24/2025: Redone Form,Michael.zander@Dilax.com / 312-558-1485,1.0,Vong,Vong,Return to Vendor,This item need to send back to vendor and exchange a new unit.,MRB Area,2025-07-14T23:52:47Z
2025-04-07T22:59:58Z,Sound Transit,In Progress,NCR - 00084,NA,APC MASTER,2414-00797,R1C011332,APC Master could not cooneted to web due to wrong configuration file.,Dilax,6/24/2025: Redone Form,Michael.zander@Dilax.com / 312-558-1485,1.0,Vong,Vong,Return to Vendor,This item need to send back to vendor and exchange a new unit.,MRB Area,2025-07-14T23:46:51Z
2025-04-08T22:21:02Z,Sound Transit,"Shipped to WISK, At WISK",NCR - 00085,NA,BOX ASSEMBLY EDS,N/A,R1C011384,"Box Assy EDS, 1 bad tap, screw broken inside one of the taps",WISK,"6/24/2025: Redone Form
8/21/2025: Item got shipped to WISK to get repaired. -BD",chpark@wjis.co.kr,1.0,Vong,Vong,Repair,This Box assy EDS send back to WIKS for repair.,WISK,2025-08-21T15:53:42Z
2025-04-08T23:20:47Z,Sound Transit,Shipped to WISK,NCR - 00086,"NA.
OLD NCR #: 1496",MCPU BOARD,2410363.0,R1C011317,MCPU Board return to WISK ( this board use for Lontester),WISK,"6/24/2025: Redone Form
8/21/2025: Item got shipped to WISK. Waiting to get updates from WISK. -BD",chpark@wjis.co.kr,1.0,Vong,Vong,Scrap,This Box assy EDS send back to WIKS for repair.,WISK,2025-08-21T15:53:42Z
2025-04-10T20:55:36Z,Sound Transit,Shipped to WISK,NCR - 00087,NA,BOX ASSEMBLY EDS,N/A,R1C011384,Scratches on body and lens,WISK,"6/24/2025: Redone Form
8/21/2025: Item got shipped to WISK. -BD",chpark@wjis.co.kr,1.0,Vong,Vong,Repair,This Box assy EDS send back to WIKS for repair.,WISK,2025-08-21T15:59:01Z
2025-04-10T23:40:52Z,Sound Transit,At WISK,NCR - 00088,NA,BOX ASSEMBLY EDS,N/A,R1C011308,Scratches on plastic lens,WISK,"6/24/2025: Redone Form
8/21/2025: Item got shipped to WISK. -BD",chpark@wjis.co.kr,1.0,Vong,Vong,Repair,This Box assy EDS send back to WIKS for repair.,WISK,2025-08-21T16:05:53Z
2025-04-11T18:59:51Z,Sound Transit,Complete,NCR - 00089,S2504-0010-1,TOD,TSCEB1005822,R1C011315,TOD REBOOTS ITSELF RANDOMLY,NEXCOM,6/4//25: MCU updated to fix reboot issue. All passed function test and burn-in test. 6/24/2025: Redone Form.,dtran@nexcom.com,1.0,Vong,Vong,"Return to Vendor, Repair","TOD REBOOT ITSELF RANDOMLY, THIS ISSUE NEED TO FIXED BY VENDOR.",WISA Inventory,2025-08-18T18:22:56Z
2025-04-11T19:01:28Z,Sound Transit,Complete,NCR - 00090,S2504-0010-20,TOD,TSCEB1005837,R1C011315,TOD REBOOTS ITSELF RANDOMLY,NEXCOM,"6/3/25: MCU updated to fix reboot issue. All passed function test and burn-in test.
6/24/2025: Redone Form.
8/18/2025: Item is fixed and got returned to WISA inventory. -BD",dtran@nexcom.com,1.0,Vong,Vong,"Return to Vendor, Repair","TOD REBOOT ITSELF RANDOMLY, THIS ISSUE NEED TO FIXED BY VENDOR.",WISA Inventory,2025-08-18T18:26:07Z
2025-04-15T17:44:47Z,Sound Transit,Shipped to WISK,NCR - 00091,NA,DLC BOARD,24E0007,R1C011372-G01,DLC FAILED TO COMMUNICATION DURING THE TEST,WISK,"6/24/2025: Redone Form
8/21/2025: Item got shipped to WISK. Waiting on update on WQMS. -BD",chpark@wjis.co.kr,1.0,Vong,Vong,"Return to Vendor, Repair",DLC DID NOT COMMUNICATION DURING THE TEST,WISK,2025-08-21T16:09:02Z
2025-04-15T17:58:43Z,Sound Transit,Shipped to Vendor,NCR - 00092,NA,VCCB,61328.0,6950 000 5503-09,VCCB (B) FAILED TO COMMUNICATION DURING THE TEST,VECom USA,"6/27/2025: Waiting for vendor to send packing slip/labels, waiting to see who is going to cover shipping costs.
8/15/2025: Currently at Vendor's location getting repaired. Waiting for them (Julie Fitzgerald) to update us on Status. -BD",813-901-5300,1.0,Vong,Vong,"Return to Vendor, Repair",VCCB DID NOT COMMUNICATION DURING THE TEST,Shipped to Vendor,2025-08-21T16:19:37Z
2025-04-15T18:41:26Z,Sound Transit,Shipped to Vendor,NCR - 00093,NA,CPU (J4),04002362445034A,R1C011313,CPU J4  FAILED TO COMMUNICATION DURING THE TEST,MIOS,"6/24/2025: Redone Form
8/21/2025: Item got shipped to MIOS to get repaired. -BD",nicola.piazzola@mios-agon.com,1.0,Vong,Vong,"Return to Vendor, Repair",CPU board that is part of an EVR is not communicating with the test bench.,Shipped to Vendor,2025-09-05T17:55:14Z
2025-04-17T22:11:38Z,Sound Transit,Shipped to WISK,NCR - 00094,NA,RNS,24006.0,R1C011312,Light sensor did not worked.,WIS,"6/24/2025: Redone Form
8/21/2025: Item got shipped to WISK. Waiting to see update on WQMS. -BD",chpark@wjis.co.kr,1.0,Vong,Vong,"Return to Vendor, Repair",sensor light on RNS did not work,Shipped to Vendor,2025-08-21T16:27:20Z
2025-04-17T22:22:14Z,Sound Transit,In Progress,NCR - 00095,NA,IDPS POWER SUPPLY,100240-000014,100W12-72524,IDPS DID NOT PROVIDE THE POWER,sIL4systems,6/24/2025: Redone Form,c.conti@sil4systems.com,1.0,Vong,Vong,Return to Vendor,"POWER SUPPLY DID NOT PROVIDE THE POWER FROM THE OUTPUT.  We are still investigation for the issue, IDPS power supply.",MRB Area,2025-07-14T23:52:47Z
2025-04-23T18:11:55Z,Sound Transit,Complete,NCR - 00096,NA,RNS,043-820-4136,R1C011312,RNS WAS SCRACTCH AND DENTS,WISK,"6/24/2025: Redone Form
8/21/2025: Item got touched up by SHIN when he was at WISA. -BD",chpark@wjis.co.kr,1.0,Vong,Vong,Repair,"RNS WAS SCRATCH AND DENTS, NEED TO REPAIR AND SEND BACK TO WISA",WISA Inventory,2025-08-21T16:33:55Z
2025-04-30T18:51:52Z,Sound Transit,Shipped to WISK,NCR - 00097,NA,TOD,No Seriial number on IMS cover screen,R1C011409-G01,"IMS cover scratched on screen, WISK need to replace a new screen",WISK,"6/24/2025: Redone Form
8/21/2025: Item got sent to WISK. Waiting to see update on WQMS. -BD",chpark@wjis.co.kr,1.0,Vong,Vong,"Return to Vendor, Repair","IMS cover scratched on screen, WISK need to replace a new screen and send back to WISA",WISK,2025-08-21T16:38:24Z
2025-05-09T16:25:09Z,Sound Transit,Waiting Vendor Response,NCR - 00098,NA,Net Video Recorder (NVR),S24C6N2101000001,tBOX210-RLS-MR,Missing two small bags of components. Most likely connectors.,Rail Transit Consultants Inc. (RTC),"6/24/2025: Redone Form
8/21/2025: Waiting on response from vendor. -BD","josman@railtransit.com, 724.527.2386",1.0,Sherry,Vong,Needs further review,The two bags were not including in the NVR.,Other Area,2025-08-21T16:41:56Z
2025-05-14T17:37:03Z,Sound Transit,Shipped to WISK,NCR - 00099,NA,DSIMS cover,N/A,R1C011421-G01,"DSIMS cover assy's, the stub was broken during the production.",WISK,"6/24/2025: Redone Form
8/21/2025: Item got shipped to WISK. Waiting on update on WQMS. -BD",chpark@wjis.co.kr,1.0,Vong,Vong,Repair,"RNS WAS SCRATCH AND DENTS, NEED TO REPAIR AND SEND BACK TO WISA",WISK,2025-08-21T16:50:42Z
2025-05-15T23:12:20Z,Other,Shipped to WISK,NCR - 00100,24071801.0,AAB Power Board,12017.0,R1D000249,"AMP-PWR board, No Powering",DTO,"6/24/2025: Redone Form
8/21/2025: Item got shipped to WISK. Waiting to see update on WQMS. -BD",raju.sitaula@rtdrail.com,1.0,Vong,Vong,Repair,RMA/NCR this unit need to send to WISK for repair.,WISK,2025-08-21T16:53:51Z
2025-05-20T18:44:42Z,A650,Complete,NCR - 00101,,Cable (5 meters),1006452093.0,3 GKW 600V 1X70 GY (RADOX TRACTION CABLE) 5M,Wrong Cable,Huber + Suhner,"6/25/2025: Uploaded NCR file to attachments.
8/18/2025: updated NCR file. The correct cables got sent to WISA and is in inventory.","Angela MacDonald, angela@aircoment.com, 316-788-0400",5 meters,Sherry,Sherry,Return to Vendor,"5/20/25: Wrong Cable was sent to WISA. Will return to vendor
5/21/25: Will send back to Vendor and vendor will send correct
cable.",WISA Inventory,2025-08-18T18:34:18Z
2025-05-23T16:42:49Z,Sound Transit,In Progress,NCR - 00102,NA,IDPS,S4IDPS23003,SIL4-IDPS-01,Didn't Function as expected. It didn't display (keep on the Bench),SIL4,6/25/25: Uploaded NCR file to attachments folder.,bdiaz@woojinisa.com,1.0,Vong,Vong,Use as is,"QC will use this unit for test purposes, since the configuration was not done correctly by the vendor.",MRB Area,2025-07-16T23:37:33Z
2025-06-04T21:05:56Z,TRIMET,"Shipped to WISK, At WISK",NCR - 00103,NA,CCP,010A053,R1C000914,Pass emergency button inoperable.,WISK,"6/25/25: Uploaded NCR file to attachments folder.
8/18/25: Currently being tested at WISK. Waiting for WISK to finish repairing. -BD",chpark@wjis.co.Kr,1.0,Bryner,Vong,Repair,Pass emergency button inoperable. Received part with missing pins on CN1.,MRB Area,2025-08-15T16:56:39Z
2025-06-04T21:09:35Z,Trimet,"Shipped to WISK, At WISK",NCR - 00104,NA,CCP,010A007,R1C000914,Does not Initialize/Broken Screen,"Woojin Industrial Systems Co., Ltd.","6/25/25: This part will get sent to WISK soon. Uploaded NCR file to attachments folder.
8/18/25: Currently being tested at WISK. Waiting for WISK to finish repairing. - BD",chpark@wjis.co.kr,1.0,Michael Cho,Vong Tran,Repair,Does not Initialize/Broken Screen,MRB Area,2025-08-15T16:56:39Z
2025-06-09T18:16:13Z,Sound Transit,Complete,NCR - 00105,NA,APC Master,2414-00711,102001504.0,No communication on web browser,Dilax,6/9/25:   Vong configured/updated the firmware to get connection to the test bench.,Michael.zander@dilax.com/ 312-558-1485,1.0,Bryner/Mike,Bryner/Mike,Return to Vendor,,Returned to Customer,2025-08-18T18:42:22Z
2025-06-09T23:27:36Z,Sound Transit,In Progress,NCR - 00106,NA,APC Master,"2449-00015, 2449-00019, 2449-00029, 2449-00090, 2449-00076, 2449-00065, 2449-00295, 2511-00227",102001504.0,No communication on web browser/Needs firmware update.,Dilax,6/25/2025: Redone Form,Michael.zander@dilax.com/ 312-558-1485,8.0,Bryner/Mike Cho,Bryner/Mike Cho,Return to Vendor,,MRB Area,2025-07-16T23:37:33Z
2025-06-12T21:24:38Z,Sound Transit,Complete,NCR - 00107,NA,Forward View Camera,B8A44F7BAB4F,P3905-R Mk III M12,Failed ping test; no communication with bench,RTC,"6/16/2025: RTC gave us RMA numbers (2025ST001)
6/26/25: Waiting on packing slip, emailed James.
7/16/25: James Osman from RTC emailed us on how to trouble shoot and we were able to fix the part.
This camera got sent back to inventory (Sherry).",josman@railtransit.com,1.0,Michael,Michael,Return to Vendor,,WISA Inventory,2025-08-18T18:52:52Z
2025-06-12T22:00:09Z,Sound Transit,Waiting Vendor Response,NCR - 00108,NA,Forward View Camera,B8A44F7BA486,P3905-R MK III M12,Failed ping test; no communication with bench,RTC,"6/16/2025: RTC gave us RMA numbers
6/26/25: Waiting on packing slip, emailed James.
7/25/25: The camera was delivered.
8/4/25: Emailed James for an update on the Camera. waiting on his response
9/11/2025: Got response from James, he said we will get a replacement camera by 9/26/2025.",josman@railtransit.com,1.0,Bryner,Bryner,Return to Vendor,,MRB Area,2025-09-11T21:45:27Z
2025-06-13T22:33:21Z,Sound Transit,Waiting Vendor Response,NCR - 00109,NA,APC Sensor,049162B628AF,PRT-400,No power/no communication,Sound Transit,6/26/2025: NCR shipping put on hold until Vendor updates firmware.,"michael.zander@dilax.com,  +1 312 558 1485",1.0,Michael Zander,Bryner,Return to Vendor,,Other Area,2025-08-21T18:24:40Z
